ticker,end_period_ts,end_period_utc,interval_min,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,volume,open_interest
KXHIGHLAX-25JUL02-B72.5,1751470920,2025-07-02T15:42:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751470980,2025-07-02T15:43:00+00:00,1,,,,,,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1300,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471040,2025-07-02T15:44:00+00:00,1,0.1300,0.1300,0.1300,0.1300,0.1300,0.0900,0.0500,0.0500,0.0500,0.0500,0.1300,0.1400,0.1300,0.1300,7.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471100,2025-07-02T15:45:00+00:00,1,,,,,,0.1300,0.0500,0.0500,0.0500,0.0500,0.1300,0.1400,0.1300,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471160,2025-07-02T15:46:00+00:00,1,,,,,,0.1300,0.0500,0.0500,0.0500,0.0500,0.1400,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471220,2025-07-02T15:47:00+00:00,1,,,,,,0.1300,0.0500,0.0500,0.0500,0.0500,0.1300,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471280,2025-07-02T15:48:00+00:00,1,,,,,,0.1300,0.0500,0.0500,0.0500,0.0500,0.1300,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471340,2025-07-02T15:49:00+00:00,1,,,,,,0.1300,0.0500,0.0500,0.0500,0.0500,0.1300,0.1400,0.1300,0.1400,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471400,2025-07-02T15:50:00+00:00,1,,,,,,0.1300,0.0500,0.0500,0.0500,0.0500,0.1400,0.1400,0.1300,0.1300,0.00,1754.00
KXHIGHLAX-25JUL02-B72.5,1751471700,2025-07-02T15:55:00+00:00,1,0.1300,0.1500,0.1300,0.1500,0.1381,0.1300,0.0500,0.0500,0.0500,0.0500,0.1300,0.1500,0.1300,0.1500,47.00,1778.00
KXHIGHLAX-25JUL02-B72.5,1751471760,2025-07-02T15:56:00+00:00,1,0.0500,0.0500,0.0500,0.0500,0.0500,0.1500,0.0500,0.0500,0.0300,0.0300,0.1500,0.1500,0.1400,0.1400,28.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751471820,2025-07-02T15:57:00+00:00,1,,,,,,0.0500,0.0300,0.0300,0.0300,0.0300,0.1400,0.1400,0.1400,0.1400,0.00,1806.00
KXHIGHLAX-25JUL02-B72.5,1751471880,2025-07-02T15:58:00+00:00,1,,,,,,0.0500,0.0300,0.0300,0.0300,0.0300,0.1400,0.1400,0.1400,0.1400,0.00,1806.00
